College Code,College Name,Email,Phone,Address
0130,BANGABANDHU MOHILA GOVT. COLLEGE,bmc_mongla@yahoo.com,0465873005,"MONGLA,"
0131,MATREEBHASHA COLLEGE,matreebhashacollege@gmail.com,00000000000,"Dhansagar, Sharankhola, Bagerhat.,"
0132,MA BABAR RHIN COLLEGE,mbrcollege478@gmail.com,01309115159,"POST- SUTALORY, UPAZILA- MORELGONJ, DISTRICT- BAGERHAT,"
0133,LAILA AZAD COLLEGE,lailaazadcollege@gmail.com,01309114981,"CHARKULIA ,MOLLAHAT,BAGERHAT,"
0201,SATKHIRA GOVT. COLLEGE,satkhiragovtcollege@yahoo.com,047163227,"RAZARBAGAN, SATKHIRA., Satkhira"
0202,SATKHIRA DAY/NIGHT COLLEGE,admin@sdncollege.org,047163736,"SATKHIRA SARDAR, SATKHIRA, Satkhira"
0203,SATKHIRA CITY COLLEGE,satkhiracitycollege@gmail.com,047164888,"RASULPUR, Satkhira"
0204,SATKHIRA GOVT. MAHILA COLLEGE,satgmc0204@gmail.com,02477741117,"SATKHIRA, Satkhira"
0205,KUMIRA MAHILA DEGREE COLLEGE,kumiramahiladegreecollege@gmail.com,62031,"KUMIRA, TALA, SATKHIRA, Satkhira"
0206,ASSASUNI GOVERNMENT COLLEGE,collegeassasuni@yahoo.com,0472256023,"VILL+P.O+P.S: ASSASUNI, Satkhira"
0207,SHAYMNAGAR GOVT. MOHSIN COLLEGE,principalsmc2015@yahoo.com,0472644012,"SHYAMNAGAR,SATKHIRA., Satkhira"
0208,KALIGANJ GOVT. COLLEGE,kaliganjgovt.college@gmail.com,0472556021,"BAZARGRAM RAHIMPUR, KALIGANJ, SATKHIRA., Satkhira"
0209,KOLAROA GOVT. COLLEGE,Kalaroagc09@gmail.com,02477743268,"Post+Upazila: KALAROA,Dist: SATKHIRA, Satkhira"
0210,GOVT. KHAN BAHADUR AHSANULLAH COLLEGE,kbacollege@gmail.com,0473272270,"SAKHIPUR, DEBHATA, SATKHIRA., Satkhira"
0211,TALA GOVT. COLLEGE,talagovtcollege@gmail.com,02477744071,"TALA, SATKHIRA, Satkhira"
0212,MUNSHIGONG COLLEGE,munshigonjcollege@gmail.com,01715489603,"KADAMTALA, Satkhira"
0213,BHALUKA CHANDPUR ADRASHA DEGREE COLLEGE,bcac.college1994@gmail.com,01720506070,"BHALUKA CHANDPUR, Satkhira"
0214,SHIMANTA ADARSHA COLLEGE,sacms1997@gmail.com,01715608923,"MAHMUDPUR,  POST. BHARUKHALI, SATKHIRA., Satkhira"
0215,RAHIMA EZAHAR MEMORIAL B. ED. COLLEGE,don506011@gmail.com,01925054056,"SATKHIRA, Satkhira"
0216,NALTA AHSANIA MISSION RESIDENTIAL COLLEGE,naltaamr.college@yahoo.com,0473351075,"POST: NALTA MOBARAK NOGOR.P.S-Kaligonj,Dis-Satkhira., Satkhira"
0217,SUNDERBAN SCIENCE AND BUSINESS COLLEGE,sunderbanbusinesscollege@yahoo.com,047163798,"MUNSHIPARA, SATKHIRA., Satkhira"
0218,BANGABONDHU MOHILA COLLEGE,bmckalaroa1994@gmail.com,01309118728,"KALAROA,SATKHIRA, Satkhira"
0219,KAZIRHAT COLLEGE,kazirhatcollege@yahoo.com,01716173273,"KAZIRHAT, KALAROA, SATKHIRA., Satkhira"
0220,SHALIKHA COLLEGE,shalikha_college1@yahoo.com,0,"VILL- MURAGACHA,
POST- HARIHARNAGAR,
UPAZILLA- TALA,
DIST- SATKHIRA., Satkhira"
0236,SHEIKH AMANULLAH DEGREE COLLEGE,skamanullahcollege@gmail.com,01309118729,"VILL: TULSHIDANGA, POST: KALAROA, THANA: KALAROA, DIST: SATKHIRA., Satkhira"
0237,SHAHID SMRITI COLLEGE,shahidsmriti0237@gmail.com,01718445687,"BANSDAHA, SATKHIRA, Satkhira"
0238,ROKEYA MANSUR MAHILA COLLEGE,rmmcollege@yahoo.com,0472556060,"VILL- BAZARGRAM  RAHIMPUR  P.O+P.S-KALIGONJ, DIST- SATKHIRA, Satkhira"
0239,SHAMNAGAR ATARJAN MOHILA COLLEGE,atarjancollege@gmail.com,0472644128,"PO-NAKIPUR ,PS-SHYAMNAGAR, Satkhira"
0240,TALA MOHILA COLLEGE,talamohilacollege@gmail.com,0472756124,"TALA,SATKHIRA, Satkhira"
0241,HAJI KEYAMUDDIN MEMORIAL MOHILA COLLEGE,hkmmcollege@gmail.com,047273145,"VILL +POST- SAKHIPUR, Satkhira"
0242,KATUNIA RAJBARI COLLEGE,krdc1995@gmail.com,01720537369,"PIRGAZON, KALIGONJ, SATKHIRA, Satkhira"
0243,SHAHEED MUKTIJODHYA MAHABIDYALYA,smcollege.tala@gmail.com,01774722396,"POST- TALA, Satkhira"
0244,NAWABENKI COLLEGE,nowabenkicollege@yahoo.com,01720560149,"VILL-NOWABENKI, POST-NOWABENKI, Satkhira"
0245,SAFURANNESSA MOHILA COLLEGE,safurannessamohalacollege@yahoo.com,0147164546,"BANKAL, SATKHRIA SADAR, SATKHIRA., Satkhira"
0246,SATKHIRA LAW COLLEGE,slc_haider@yahoo.com,01712309434,"SULTANPUR, SATKHIRA SADAR, SATKHIRA, Satkhira"
0247,"KALARUA SHIKKHAK PROSHIKHAN COLLEGE, KALARUA",kalaroabedcollege@gmail.com,01711102827,"VILL: TULSHIRANGA, P.O: KALAROA, Satkhira"
0248,SATKHIRA SHIKKHAK PROSHIKHAN COLLEGE,0,,"0, Satkhira"
0249,A. P. S. MAHABIDDALOY,apscollege1999@gmail.com,01712156662,"NAKNA, PROTAPNAGAR, Satkhira"
0250,SUNDARBON SHIKKHOK PROSHIKHAN COLLEGE,sunderbonttcollege@yahoo.com,0,"MONSHIPARA SATKHIRA, Satkhira"
0251,KALARUA PHYSICAL EDUCATION COLLEGE,kalaroabpedcollege@gmail.com,01790100000,"VILL: TULSHIRANGA, P.O: KALAROA, Satkhira"
0252,"ADVOCATE ABDUR RAHMAN COLLEGE, BINERPOTA",adv.abdurrahmancollege@gmail.com,074162884,"BENERPOTA, Satkhira"
0253,KAZI ALAUDDIN DEGREE COLLEGE,kazialauddindegreecollege@gmail.com,01716504118,"ZAFARPUR,TARALI, Satkhira"
0254,DEBHATA COLLEGE,debhatacollegedebhata@gmail.com,0473272064,"DEBHATA,SATKHIRA, Satkhira"
0255,JHAUDANGA COLLEGE,jhaudangacollege@yahoo.com,01712242761,"JHAUDANGA,SATKHIRA., Satkhira"
0256,HAZI WAZED ALI TEACHERS' TRAINING COLLEGE,hwattc@gmail.com,01712976689,"SULTANPUR, SATKHIRA, Satkhira"
0257,ASSASUNI MOHILLA COLLEGE,assasunimohilacollege@gmail.com,01727035761,"ASSASUNI, SATKHIRA., Satkhira"
0258,PATKELGHAT HARUN-OR-RASHID COLLEGE,phrcollegesatkhira@gmail.com,01309119104,"PATKELGHATA, Satkhira"
0259,SHUVASHINI DEGREE COLLEGE,shuvashinicollege@gmail.com,01712990332,"SHUVASHINI.TALA.SATKHIRA, Satkhira"
0260,HAZI NASIRUDDIN COLLEGE,biplob_hnc@yahoo.com,01717761676,"SALIMPUR, KALAROA, SATKHIRA, Satkhira"
0261,SONAR BANGLA COLLEGE,sonarbangladegreecollege14@yahoo.com,01309118731,"SONABARIA, KALAROA, SATKHIRA, Satkhira"
0262,SHAHEED ZIAUR RAHMAN DEGREE COLLEGE,degreecollege4951@gmail.com,01712073360,"TIKARAMPUR, Satkhira"
0263,BEGUM KHALEDA ZIA COLLEGE,begumziacollege@gmail.com,01720524999,"VILL+POST:DHANDIA,UP:KALROA,DIST:SATKHIRA., Satkhira"
0264,BOALIA MUKTIJODDAH COLLEGE,pr.faruk.059@gmail.com,01730936248,"P/O - BOALIA, Thana / Upazila - Kalaroa, District - Satkhira - 9410, Satkhira"
0265,DRM UNITED IDEAL COLLEGE,drmuic@gmail.com,042161121,"VILL:RAGHURAMPUR,POST:RATANPUR, Satkhira"
0266,SUNDARBAN COLLEGE OF TECHNOLOGY,sundarbancollegetech@gmail.com,047164778,"NOOR AHMAD KHAN ROAD, PALASHPOLE, Satkhira"
0267,COLLEGE OF EDUCATION,collegeofeducationsatkhira@gmail.com,01712976689,"SULTANPUR, Satkhira"
0268,CHANDANPUR UNITED COLLEGE,chandanpurunitedcollege@gmail.com,01309118732,"chandanpur, Kalaroa, Satkhira, Satkhira"
0307,RAYERMOHAL COLLEGE,rayermohalcollege2022@gmail.com,041760498,"GPO-9000 ,  KHALISHPUR , KHULNA, Khulna"
0308,METROPOLITAN COLLEGE,mpck308@gmail.com,0412830816,"SABUJBAGH,  SONADANGA, P.O. GPO-9000, Khulna, Khulna"
0309,KHANJAHAN ALI COLLEGE OF SCIENCE & TECHNOLOGY,khanjahanali.kln@gmail.com,041763644,"93, Mujgunni R/A, Boyra Mohasarak, GPO- 9000, Boyra,Khulna, Khulna"
0310,KOYRA GOVERNMENT MOHILA COLLEGE,koyramohilacollege@gmail.com,0402656115,"KOYRA,KHULNA, Khulna"
0311,ALAIPUR COLLEGE,apcrupshakhl@gmail.com,01719504798,"VILL+P.O-ALIPUR, Khulna"
0312,KHULNA GOVT. MAHILA COLLEGE,kgcprin.ad@gmail.com,0412850083,"BOYRA , KHULNA, Khulna"
0313,AZAM KHAN GOVT. COMMERCE COLLEGE,azamkhancollege@yahoo.com,041722882,"3, BABU KHAN ROAD, KHULNA., Khulna"
0314,AHSANULLAH COLLEGE,ahsanullahcollege@yahoo.com,041731700,"31 K, D, A AVENUE , KHULNA, Khulna"
0315,GOVT. SUNDARBAN ADARSHA COLLEGE,govt.sundarban.ac@gmail.com,02477721915,"KHAN JAHAN ALI ROAD, Khulna"
0316,GOVT. M. M. CITY COLLEGE,mmcitycollege.khulna@yahoo.com,02477725704,"300, KHAN JAHAN ALI ROAD. KHULNA, Khulna"
0317,SHAHID SUHRAWARDI COLLEGE,khulnasscollege@gmail.com,02477724738,"28, sscollege road, BANORGATI BAZAR, Khulna"
0318,RUPSHA COLLEGE,rupshacollege.khulna@yahoo.com,0255039668,"RUPSHA EAST, KHULNA, Khulna"
0319,PIONEER GOVERNMENT MAHILA COLLEGE,girlscollegepioneer@gmail.com,041721266,"6,SOUTH CENTRAL ROAD, KHULNA, Khulna"
0320,HAJI ABDUL MALEK ISLAMIA COLLEGE,hmicprincipal27@gmail.com,02477722239,"SHIPYARD, Khulna"
0321,GOVT. HAJI MD. MOHSIN COLLEGE,moshincollege.khalishpur_khulna@yahoo.com,02477704018,"ROAD NO 18, KCC WORD NO 12, HAUGING ESTATE, Khulna"
0322,GOVT. B. L. COLLEGE,infoblcollege@gmail.com,8802477702944,"KHULNA, Khulna"
0323,MOHSIN MAHILA COLLEGE,muhsingirlscollege@yahoo.com,041774913,"DAULATPUR, KHULNA., Khulna"
0324,DAULATPUR DAY/NIGHT COLLEGE,daulatpurcollegedn@yahoo.com,02477700940,"PABLA, DAULATPUR, KHULNA, Khulna"
0325,BAJUA SURENDRANATH COLLEGE,bajuasurendranathcollege@gmail.com,01309116923,"VILL.+P.O.- BAJUA, P.S.- Dacope, Dist.- Khulna., Khulna"
0326,GOVT. M. A. MAJID COLLEGE,mamazid.dc.86@gmail.com,041890095,"DIGHOLIA, Khulna"
0327,GOVT. NORTH KHULNA COLLEGE,northkhulnacollege@gmail.com,01309117461,"P.O & UPAZILLA: TEROKHADA, DIST. KHULNA, Khulna"
0328,DUMURIA COLLEGE,dumuriacollege@gmail.com,0402556023,"DUMURIA, KHULNA-9250, Khulna"
0329,GOVT. BATIAGHATA DEGREE COLLEGE,batiaghatacollege@yahoo.com,0402256017,"BATIAGHATA, KHULNA., Khulna"
0330,GOVT. SHAHPUR MADHUGRAM COLLEGE,smc.principal@yahoo.com,01309117055,"SHAHPUR, Dumuria, KHULNA, Khulna"
0331,FULTALA M. M. COLLEGE,phummcollege@gmail.com,041701031,"PHULTALA, Khulna"
0332,PAIKGACHA GOVT. COLLEGE,0332pc@gmail.com,01718019250,"Saral, 4 No Word, Paikgacha Pouroshova, Khulna., Khulna"
0333,KAPILMUNI COLLEGE,collegekapilmuni@gmail.com,01712087308,"KAPILMUNI BAZAR, KAPILMUNI, PAIKGACHHA, KHULNA., Khulna"
0334,GOVT. BANGABANDHU COLLEGE,info.bbckhl@gmail.com,041800051,"Rupsha, Khulna., Khulna"
0335,ALHAJ SARWAR KHAN COLLEGE,SKCOLLEGE92@GMAIL.COM,041890056,"SENHATI, DIGHALIA, KHULNA, Khulna"
0336,SABURANNESA MAHILA COLLEGE,soburannesamohilacollege@gmail.com,041731860,"23/1, GAGAN BABU ROAD, Khulna"
0337,FASIAR RAHMAN MAHILA COLLEGE,frwcspk@gmail.com,02477731718,"VILL- SARAL, P.O.- PAIKGACHA, UPZ. - PAIKGACHA, DIST- KHULNA, Khulna"
0338,KHAN SHAHEB KOMORUDDIN COLLEGE,khansahebkomoruddin@gmail.com,01713914423,"JAIGIRMOHAL, AMADI, KOYRA, KHULNA, Khulna"
0339,SHAHID SMRITI MAHILA COLLEGE,s.s.mohilacollege@gmail.com,01712242403,"POST: SAJIARA, UPAZILA: DUMURIA, DIS: KHULNA., Khulna"
0340,GOVT. PHULTALA MAHILA COLLEGE,phultalamahilacollege90@yahoo.com,041701469,"ALKA, PHULTALA, KHULNA, Khulna"
0341,KHULNA ISLAMIA COLLEGE,khulnaislamiacollege@gmail.com,024777040556,"BOYRA, GPO-9000, SONADANGA, KHULNA.,"
0342,KHANJAHAN ALI ADARSHA COLLEGE,collegekhanjahanali@gmail.com,041785177,"SHIROMONI INDUSTRIAL AREA,"
0343,"INSTITUTE OF LIBRARY, ARTS, COMMERCE & SCIENCE (ILACS)",quyyum1960@gmail.com,041720638,"5/1, Korpara Road,Tutpara,KHULNA.,"
0344,KHULNA COLLEGE,khulcollege@gmail.com,041733413,"KHANJAHAN NOGOR (GOBARCHAKA) MAIN ROAD, KHULNA,"
0345,MOULANA BHASHANI MEMORIAL COLLEGE,mbmcollege1993@gmail.com,01711011159,"BANIAKHALI, P.O-SHARAFPUR,,"
0346,CITY GIRLS COLLEGE,cgckhulna@gmail.com,041811596,"75/2 HAZI ISMAIL ROAD , KHULNA,"
0347,KHULNA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,avsvision@gmail.com,01719208087,","
0348,GOVT. L. B. K. DEGREE WOMEN'S COLLEGE,lbkmohilacollege@gmail.com,01718846157,"KHUTAKHALI BAJUA,"
0349,SHAHEED AYUB & MUSA MEMORIAL (DEGREE) COLLEGE,ayubmusacollege@gmail.com,01309117320,"GARAIKHALI,paikgacha,khulna,"
0350,AKIJ INSTITUTE OF TECHNOLOGY KHULNA,,,","
0351,CITY LAW COLLEGE,awalraj90@gmail.com,724069,"28, AHASAN AHAMED ROAD, KHULNA, Khulna"
0352,CENTRAL LAW COLLEGE,clckhl1995@gmail.com,041732505,"7, BANE BABU ROAD, P.S. Khulna, Dist.- KHULNA., Khulna"
0353,GOVT. TEACHERS' TRAINING COLLEGE,ttckhul@yahoo.com,041774551,"GOVT. TEACHERS' TRAINING COLLEGE, KHULNA, Khulna"
0354,SAROWAR KHAN TEACHERES TRAINING COLLEGE,takiab@gmail.com,01720661217,"0, Khulna"
0355,INSTITUTE OF EDUCATION LIBRARY AND MANAGEMENT (IELAM),md.shahidulislam414@yahoo.com,0412850979,"635/7 & 53/6,MUJGUNNI MOHASAROK,BOYRA,KHULNA., Khulna"
0356,"INSTITUTE OF LIBRARY, ARTS, COMMERCE AND SCIE",0,,"0, Khulna"
0357,KHULNA ART COLLEGE,0,,"0, Khulna"
0358,SHAHID ABUL KASHEM COLLEGE,kashem_college1995@yahoo.com,01711817162,"KAIYA BAZAR, Khulna"
0359,CHALNA MOBARAK MEMORIAL COLLEGE,chalnammcollege@gmail.com,0402356084,"VILL. ACHABUYA. P.O: CHALNA BAZAR, Khulna"
0360,AMIRUL ISLAM KAGOJI TEACHERS' TRAINING COLLEGE,aikttcollage@gmail.com,01912956961,"PAIKGACHA, Khulna"
0361,POLLISREE DEGREE COLLEGE,pollisreecollege@gmail.com,01711398375,"MADARTALA BORISIN DUMURIA KHULNA, Khulna"
0362,KAPOTAKSHMA COLLEGE,kapotakshmacollege1@gmail.com,0402656017,"1 NO KOYRA, PO-MADINABAD,KOYRA, KHULNA., Khulna"
0363,CHALNA COLLEGE,chalnacollege.0363@gmail.com,0402356076,"P.O: CHALNA BAZAR, Khulna"
0364,CHUKNAGAR COLLEGE,chuknagar.college@gmail.com,01920733178,"Chuknagar College, Chuknagar-9252, Dumuria, Khulna., Khulna"
0365,HORIDHALI KAPILMUNI MOHILA COLLEGE,hkmc2001@gmail.com,01711043566,"RAMCHANDRANAGOR, Khulna"
0366,MAHESHWARPASHA SHAHID ZIA COLLEGE,mpszcollege0366@yahoo.com,041774052,"P.O: KUET, P.S: DAULATPUR, DIST: KHULNA, Khulna"
0367,CHITTRA MOHILA DEGREE COLLEGE,cittramcollege@gmail.com,0402956040,"TEROKHADA, post. Terokhada, Upozila. Terokhada. Dist. Khulna, Khulna"
0368,SYED ARSHAD ALI AND SABURUNNESSA GIRLS COLLEGE,sasgirlscollege@gmail.com,041800267,"BELFULIA,RUPSHA,KHULNA., Khulna"
0401,NARAIL GOVT. VICTORIA COLLEGE,narailgvc@gmail.com,02477773013,"RATANGONJ, NARAIL, Kurigram"
0402,ABDUL HAYEE COLLEGE,abdulhyedegreecollege@gmail.com,048162244,"MOHISHKHOLA, NARAIL SADAR , NARAIL, Narail"
0403,GOVT. SHAHID ABDUS SALAM COLLEGE,kaliasascollege@gmail.com,01918995578,"Vill-Chotokalia,P.O.- Kalia(7520),P.S.-Kalia Dist-Narail, Narail"
0404,LOHAGARA GOVT. ADARSHA COLLEGE,lohagaraacollege68@gmail.com,0482356115,"PO. LOHAGARA, Narail"
0405,MUNSHI MANIK MIAH COLLEGE,bordiacollege@gmail.com,01726160020,"P.O.- BARDIA,Thana-Kalia, Dist- Narail., Narail"
0406,NABOGANGA COLLEGE,ndcnu1994@yahoo.com,01309118438,"DIGHALIA, P/O KOLA-DIGHALIA, UPPAZILLA- LOHAGARA, DISTRICT- NARAIL. POST CODE-7510, Narail"
0407,LAKSHMIPASHA ADARSHA DEGREE WOMENS' COLLEGE,laxmdc@gmail.com,0482356159,"LAXMIPASHA, Narail"
0408,MIRZAPUR UNITED DEGREE COLLEGE,collegemirzapur@gmail.com,01713901694,"VILL- MIRZAPUR, POST- MIRZAPUR ARPARA,Upa-Zila Narail Sadar,Dist. Narail Bangladesh., Narail"
0409,S. M. A. AHAD COLLEGE,smaahadcollege@yahoo.com,01715214309,"po: Lahuria Upazilla: Lohagora Dist: Narail., Narail"
0410,MAIJPARA COLLEGE,maijparacollege@gmail.com,0713921728,"MODHYIAPALI, Narail"
0411,MONORANJAN KAPURIA COLLEGE,monoranjankapuriacollege@gmail.com,042166898,"POST:CHANCHURI PURULIA, Narail"
0412,SM SULTAN BENGAL CHARUKALA MOHABIDYALAY,sultanbengal@gmail.com,01765999975,"VILL>MACHIMDIA,POST>RATANGONG,PS>NARAIL,DIST>NARAIL., Narail"
0413,NARAIL GOVT MOHILA COLLEGE,narail_govt_mohila.college@yahoo.com,048162218,"MAGURA ROAD. NARAIL, Narail"
0501,GOVT. MICHAEL MADHUSUDAN COLLEGE,principal.mmc.jessore@gmail.com,02477762326,"SHAH ABDUL KARIM ROAD, KHORKI, JESSORE, Jessore"
0502,KAZI NAZRUL ISLAM COLLEGE,kazinazrulislamcollege0502@gmail.com,01309116100,"HABITPUR,BARINAGAR, SADAR, JASHORE, Jessore"
0503,GOVT. SHAHID SIRAJUDDIN HOSSAIN COLLEGE,principalsshcollege@gmail.com,01711237535,"GOURNAGAR, BAGHARPARA, JESSORE, Jessore"
0504,UPASHAHAR COLLEGE,upcollegejessore@gmail.com,042165232,"PO. Newtown, Upashahar, Sadar, Jessore., Jessore"
0505,JESSORE CANTONMENT COLLEGE,principalccjc@gmail.com,02479553170,"JESSORE CANTONMENT , JESSORE, Jessore"
0506,JESSORE GOVT. MAHILA COLLEGE,jgmcollege@yahoo.com,02477762524,"KARBALA ROAD, SADAR, JASHORE, Jessore"
0507,JESSORE GOVT. CITY COLLEGE,govtcitycollegejessore@gmail.com,042165763,"NORAIL ROAD, JESSORE, Jessore"
0508,MONIRAMPUR GOVT. COLLEGE,monirampurcollege1967@gmail.com,0422778164,"MONIRAMPUR COLLEGE,MONIRAMPUR,JESSORE., Jessore"
0509,MONIRAMPUR MAHILA COLLEGE,monirampur93mdc@gmail.com,0422778413,"MONIRAMPUR MAHILA COLLEGE, MONIRAMPUR, JESSORE, Jessore"
0510,KESHABPUR GOVT. COLLEGE,kc.keshabpur@gmail.com,02477767110,"KESHABPUR, JESSORE., Jessore"
0511,HAZI ABDUL MOTALEB MAHILA COLLEGE,hammohilacollege15@gmail.com,01309115946,"KESHABPUR, JESSORE., Jessore"
0512,JHICKERGACHHA SHAHID MASHIUR RAHMAN COLLEGE,smrcollege@yahoo.com,0422571293,"JHIKARGACHA, Jessore"
0513,CHOWGACHHA GOVT. COLLEGE,ferojkabir.jess@gmail.com,0422456238,"P,O : CHOWGACHA, Jessore"
0514,NAVARON DEGREE COLLEGE,ibrahimkhll8@gmail.com,0422875314,"Post-JADABPUR, Thana-Shars,Dist-Jessore,, Jessore"
0515,DR. AFIL UDDIN COLLEGE,dr.afiluddindegreecollege@gmail.com,0423251011,"BAGACHARA, Sharsha, Jessore, Jessore"
0516,NOAPARA GOVERNMENT COLLEGE,principal_nc1964@yahoo.com,0422271257,"NOAPARA COLLEGE, P.O.-NOAPARA, UPAZILA-ABHAYNAGOR, DIST.-JESSORE., Jessore"
0517,MASHIAHATI COLLEGE,masiahaticollege70@gmail.com,01772943528,"MASHIAHATI,JESSORE, Jessore"
0518,SINGIA ADARSHA COLLEGE,singiaadarshacollege@gmail.com,01712146434,"BANIARGATI, JANGALBADHAL,JESSORE SADAR,JESSORE, Jessore"
0519,BAGHARPARA COLLEGE,bpcollege64@gmail.com,01714251850,"POST:BAGHARPARA,PS:BAGHARPARA, Jessore"
0520,BANKRA DEGREE COLLEGE,bankradegreecollege@gmail.com,01925224412,"S.BANKRA, JHIKARGACHA, JESSORE, Jessore"
0521,CHOWGACHA MRIDHAPARA MAHILA COLLEGE,cmpmcollege95@gmail.com,0422456583,"VILL+POST: CHOWGACHA, Jessore"
0522,HAMIDPUR AL-HERA COLLEGE,principalhac@gmail.com,042161175,"HAMIDPUR, JESSORE SADAR, JESSORE., Jessore"
0523,TALBARIA DEGREE COLLEGE,talbariacollege@gmail.com,01913810748,"TALBARIA, Jessore"
0524,NAWAPARA MAHILA COLLEGE,principal.nmc3@gmail.com,042271767,"NOAPARA, Jessore"
0525,MUKTIJODDHA COLLEGE,info@mc.edu.bd,01740541454,"RUDRAPUR, P.O-RUDRAPUR, P.S-JESSORE SADAR, DISTRICT-JESSORE, BANGLADESH, Jessore"
0526,UPASHAHAR MAHILA DEGREE COLLEGE,umc.edu.bd@gmail.com,042161615,"UPASHAHAR,JESSORE, Jessore"
0527,BANGLADESH COMPUTER AND MANAGEMENT COLLEGE,bcmccrm@yahoo.com,"+880-421-62480, 6248","16, Dhaka Road, East Barandi Para, Jessore"
0528,JESSORE COLLEGE,jessorecollege@yahoo.com,042168520,"SHANKARPUR, CHANCHARA, JESSORE, Jessore"
0529,SHAMMILANY MAHILA COLLEGE,sammilonicollege@gmail.com,0422571625,"JHIKARGACHA, JESSORE, Jessore"
0530,JHIKORGACHA MOHILA COLLEGE,jhimoc1995@gmail.com,01309115805,"JHIKORGACHA, JESSORE, Jessore"
0531,GANGANANDAPUR DEGREE COLLEGE,gdcjhikjess95@gmail.com,042165023,"GANGANANDAPUR, Jessore"
