DIVISION,DISTRICT,UPAZILA_THANA,EIIN,NAME,EDU_LEVEL,MOBILE,EMAIL,MANAGEMENT,MPO,STUD_TYPE
Barishal,Bhola,Char Fasson,101402,KULSUMBAG A. ZABBAR DAKHIL MADRASHA,Dakhil,01713959636,mad101402@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101195,SHAHMATHER DARUL ISLAM BALIKA DAKHIL MADRASHA,Dakhil,01912806999,shahmotherdarullislamlabdmadrasah@yahoo.com,PRIVATE,NO,GIRLS
Barishal,Jhalokati,Jhalokati Sadar,101691,BAIDARAPUR ISLAMIA DHAKHIL MADRASHA,Dakhil,01741409541,baidarapuridm101691@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Mehendiganj,100935,SATGAON AZIZA DAKHIL MADRASA,Dakhil,01724851962,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Barguna Sadar,100230,KATHAL TALI D.K.S.U DAKHIL MADARASHA,Dakhil,01838114591,m100230kathaltali@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Banari Para,100642,KACHUA NESARIA FAZIL MADRASAH,Fazil,01726622850/01865827243,knfm100642@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Wazirpur,101079,HOSTISUNDA ISLAMIA SENIOR (FAZIL) MADRASAH,Fazil,01705172360,hfm101079bsl290@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Barisal Sadar (Kotwali),100828,ISHA ATUL ISLAM MODEL DAKHIL MADRASAH,Dakhil,01725873778,eshatulislammodelmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Dumki Upazila,102210,DUMKHI ISLAMIA GIRLS DAKHIL MADRASAH,Dakhil,01782571158,digdm.dumki@gmail.com,PRIVATE,YES,GIRLS
Barishal,Barisal,Banari Para,100653,HALIMA KHATUN MOHILA ALIM MADRASAH,Alim,01712305429,halimakhatunhmm.98@gmail.com,PRIVATE,YES,GIRLS
Barishal,Patuakhali,Patuakhali Sadar,133888,SHIALI ADARSHA DAKHIL MADRASAH,Dakhil,01712236995,sadm133888@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Barguna,Bamna,100129,KHOLPATUA MAHMUDIA SINIOR MADRASHA,Alim,01753309741,ajafor36@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Lalmohan,101561,CHATLA KARIMONNESA MOHILA DAKHIL MADRASHAH,Dakhil,01714664025,m101561@yahoo.com,PRIVATE,YES,GIRLS
Barishal,Barguna,Amtali,100108,CHAWRA NESARIA SENIOR ALIM MADRASAH,Alim,01732374798,info@banbeis.gov.bd,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Muladi,100995,MULADI ISLAMIA ALIM MADRASAH,Fazil,01735907267,muladiislamiafazilmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Dumki Upazila,102199,MURADIA ISLAMIA DAKHIL MADRASAH,Dakhil,01703257977,muradiaidm@gmil.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Kawkhali,102709,SHAPLEZA JAITUNIA DAKHIL MADRASAH,Dakhil,01716071232,sjdmadrasah83@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Patuakhali Sadar,102588,PURBO BHALLA ISLAMIA DAKHIL MADRASHA,Dakhil,01712436518,purbobhailaidm@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Rajapur,101934,KANUDAS KHATI ISLAMIA FAZIL MADRASA,Fazil,01729113563,mad101934@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Amtali,100065,WEST CHILA AMINIA FAZIL MADRASAH,Fazil,01716835134,madrasah100065@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Bamna,100132,VHAIJORA DOUATOLA MAHMUDIA DAKHIL MADRASHA,Dakhil,017267344895,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Jhalokati Sadar,101687,NESARABAD JINATUNNESA  MOHILA ALIM MADRASA,Fazil,01761888269,jinatunnesamam@gmail.com,PRIVATE,YES,GIRLS
Barishal,Patuakhali,Bauphal,102046,MOHSEN UDDIN NURIA FAZIL MADRASHA,Fazil,01715547957,mohsenuddin102046@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Rajapur,101936,BHATKATI ADAKHOLA DAKHIL MADRASHA,Dakhil,01712285524,m101936@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Daulat Khan,101470,DAKHIN JOYNAGAR HOSSIANIA FAJIL MADRASA,Fazil,01717285850,djhfmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Betagi,100284,RANIPUR GORIABDUNIA ESHAKIA ALIM MADRASAH,Alim,01731707776,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Barisal Sadar (Kotwali),137826,KASHIPUR N.S. ALIA MADRASAH,Dakhil,01675173555,,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101182,AL HAJ ABDUL MANNAN TALUKDAR DHAKIL MADRASHA,Dakhil,01921317240,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nazirpur Upazila,102881,BAITHAKATA BAZAR SALEHIA DAKHIL MADRASHA,Dakhil,01724954206,m102881@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Bhandaria,102670,PASHCHIM RAJPASHA DAKHIL MADRASHA,Dakhil,01736469918,m10267010@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Bhandaria,102645,RAJPASHA BALIKA DAKHIL MADRASHA,Dakhil,01745396758,,PRIVATE,YES,GIRLS
Barishal,Patuakhali,Dashmina,102144,CHAR HOSNABAD ALIM MADRASAH,Alim,01716371994,madrasah102144@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Muladi,100993,ISLAMABAD NESARIA ALIM MADRASHA,Alim,01714666961,muladlmadlslamabad@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nesarabad (Swarupkati),131674,"HAZRAT RABEA  BOSRY (R:) MOHILA SINEOR MADRASHA , JAGANNATH KATHI",Dakhil,01749491449,hazratrbmadrasha@gmail.com,PRIVATE,YES,GIRLS
Barishal,Bhola,Burhanuddin,101290,HALIMA  KHATUN  MOHILA  DAKHIL  MADRASHA,Dakhil,01734655255,hkmdmadrasah101290@gmail.com,PRIVATE,NO,GIRLS
Barishal,Pirojpur,Indurkani,102980,BGS MOHILA DAKHIL MADRASAH,Dakhil,01786590354,m102980@gmail.com,PRIVATE,NO,GIRLS
Barishal,Barisal,Babuganj,131505,RAKUDIA DAKHIL MADRASHA,Dakhil,01711346392,m131505m@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Patuakhali,Galachipa,131667,GALACHIPA BEGUM RABEYA YEASIN BALIKA MADRASAH,Dakhil,01729903336,rym131667@gmail.com,PRIVATE,NO,GIRLS
Barishal,Patuakhali,Mirzaganj Upazila,102439,CHOYTA NESARIA FAZIL MADRASAH,Fazil,01718422945,cnfmedubd@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102095,ADABARIA FATEMA ZAHURA GIRL'S DAKHIL MADRASHA,Dakhil,01915362572,mdrezaul0573@gmail.com,PRIVATE,YES,GIRLS
Barishal,Barguna,Barguna Sadar,100214,BADARKHALI ISLAMIA ALIM MADRASAH,Alim,01756125075,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101162,ELISHA ISLAMIA (DEGREE) FAZIL MADRASHA,Fazil,01716669224,elisaidf.madrasa.edu.bd,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101181,SOUTH JAMIRLATA FAZIL DEGREE MADRASHA,Fazil,01728197995,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Lalmohan,101554,MOHIS KHALI MONTAJ UDDIN DAKHIL MADRASHA,Dakhil,01763278303,m101554@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Kawkhali,102712,SAPTAGRAM SAMMILANI ISLAMIA DAKHI MADRASAH,Dakhil,01729680748,ssidm102712@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101374,ANJURHAT ISLAMIA SINIOR (ALIM) MADRASHA,Alim,01724700727,anjurhatalim101374@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100565,MOHAMMADIA GIRLS DAKHIL MADRASAH,Dakhil,01734335395,mgdakhilmadrasah@gmail.com,PRIVATE,YES,GIRLS
Barishal,Pirojpur,Bhandaria,102672,DARUL MUHAMMAD IDEAL DAKHIL MADRASHA,Dakhil,01719967218,,PRIVATE,YES,GIRLS
Barishal,Patuakhali,Dashmina,102152,MADHYA BAGURA NURIA DAKHIL MADRASAHA,Dakhil,01716639895,mmadrasah102152@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Mehendiganj,100937,ASMANIA ISLAMIA ALIM MADRASA,Alim,01735251141,asmaniamadrasha@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102070,SHINGHERAKATI QURAN SUNNAH DAKHIL MADRASHA,Dakhil,01720463843,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101395,EAST MADRAJ ISLAMIA MOHILA DAKHIL MADRASHA,Dakhil,01623875537,em101395@gmail.com,PRIVATE,YES,GIRLS
Barishal,Bhola,Bhola Sadar,101188,CHARAOARAD ISLAMIYA ALIM MADRASHA,Alim,01706693258,www.ciam10118@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Wazirpur,101087,DAKKIN HARTA MOMIN UDDIN DAKHIL MADRASAH,Dakhil,01740638846,hdm16508@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Wazirpur,101077,JUGIR KANDA ABDUR ROB SENIOR MADRASA,Fazil,01733108413,m101077@mail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Burhanuddin,101287,MANIKA MOHILA DAKHIL MADRASHA,Dakhil,01742211937,,PRIVATE,NO,GIRLS
Barishal,Jhalokati,Kanthalia,101768,JANGALIA DAKHIL MADRASAH,Dakhil,01745464533,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Mathbaria,102801,UTTER MANIKKHALI MUNSHI A.KARIM GIRLS MADRASA,Dakhil,01778339005,mn102801@gmail.com,PRIVATE,YES,GIRLS
Barishal,Barisal,Banari Para,100636,MALUHAR ISLAMIA  FAZIL MADRASAH,Fazil,01717252491,mifm100636@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Patuakhali Sadar,102590,SHOULA  ANSARIA DAKHIL MADRASHA,Dakhil,01736743458,soulaansariadakhilmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100558,CHAR GAZALIA SALEHIA ALIM MADRASHA,Alim,01718582423,cgsam100558@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100575,ALFUNNESA WOMEN DAKHIL MADRASHA,Dakhil,01757977162,,PRIVATE,YES,GIRLS
Barishal,Bhola,Bhola Sadar,101198,DAKHIN DIGHALDI BAITUSH SALAM DAKHIL MADRASHA,Dakhil,01716443418,ddbsdmad.101198@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100577,NALUA GAFFARU MOHMADIA DAKHIL MADRASHA,Dakhil,01715916771,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Patharghata,100329,PATHARGHATA SIDDIQUIA FAZIL MADRASAH,Fazil,01709901830,patharghatasfm@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101419,DAKKIN MADRAJ A.ROB HAMIDIA BALIKA DAKHIL MADRASHA,Dakhil,01710753858,,PRIVATE,YES,GIRLS
Barishal,Patuakhali,Patuakhali Sadar,102565,ITBARIA  GILABUNIA  DAKHIL MADRASHA,Dakhil,01714572906,itbariagilabuniadakhilmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Barisal Sadar (Kotwali),100854,UTTAR KHONTA KHALI DAKHIL MADRASAH,Dakhil,01721658463,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Pirojpur Sadar,138383,JOHURA EKRAM MOHILA DAKHIL MADRASHA,Dakhil,01715544910,zemdm_pir@gmail.com,PRIVATE,NO,GIRLS
Barishal,Barguna,Taltali,100068,TALTALI CHOTOVIZORA SHALEHIA ALIM MADRASAH,Alim,01713965158,meiin100068gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Barisal Sadar (Kotwali),100865,CHARKHANAM ISLAMIA BAHUMUKHI MOHILA DHAKHIL MADRASAH,Dakhil,,,PRIVATE,NO,GIRLS
Barishal,Barisal,Muladi,100997,CHARKALEKHAN NESARIA FAZIL MADRASHA,Kamil,01720349401,cnkm.office@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Banari Para,100652,M.A. LATIF BAHUMUKHI ALIM MADRASAH,Alim,01730917446,malbam.bp@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Kala Para,102376,LALUA NAYAPARA ISLAMIA DAKHIL MADRASHA,Dakhil,01746449421,m102376laluanidm@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102081,RAHMAT NAGAR ISLAMIA DAKHIL MADRASHA,Dakhil,01721731794,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102056,TALTOLI BHARIPASHA I. DAKHIL MADRASHA,Dakhil,01718887159,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nesarabad (Swarupkati),103072,NESARABAD MOJADDIA ISLAMIA ALIM MADRASA,Dakhil,01740795570,nesa.mojaddedia.is.da.madrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Kala Para,102398,TARIKATA DAKHIL MADRASHA,Dakhil,01710703377,m102398tarikatadakhilmadrasah@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Bhola,Lalmohan,101562,DAKHIN FARAJ GANJ ISLAMIA DAKHIL MADRASHA,Dakhil,01735167297,dakkinfarajgonjislamiadm@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100571,KATHALIA ISLAMIA DARUSSUNNATI DAKHIL MADRASHA,Dakhil,01716031813,kiddakhilmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102069,UTTAR MADANPURA ISLAMIA DAKHIL MADRASHA,Dakhil,01725729654,umdmbauphal@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Banari Para,100647,SHONAHER A.H DAKHIL MADRASAH,Dakhil,01726866211,sonaharahdm@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nazirpur Upazila,102887,AMTALA  ISLAMIA DHAKIL MADRASHA,Dakhil,01923893605,s102887@hotmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Barguna,Amtali,100074,MOHISHKATA NESARIA DAKHIL MADRASA,Dakhil,01780431066,mohishkata nesaria dakhil madrasa100074@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Mathbaria,102794,KAKRABUNIA ISLAMIA DAKHIL MADRASAH,Dakhil,01719732950,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Wazirpur,101082,CHAKMAN ISLAMIA FAZIL MADRASHA,Fazil,01714564446,m-101082@hotmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102063,KOTPAR SALEHIA DAKHIL MADRASHA,Dakhil,01724826263,ksdm2012@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102057,PURBO SANESSWOR SAHAVANO BALIKA DAKHIL MADRASHA,Dakhil,01734315023,,PRIVATE,YES,GIRLS
Barishal,Bhola,Char Fasson,101394,CHAR SHASHIBHUSION A MALEK MOHILA DAKHIL MADRASHA,Dakhil,01719660114,m101394amalek@gmail.com,PRIVATE,YES,GIRLS
Barishal,Bhola,Bhola Sadar,101196,PASCHIM CHAR SAMAYA DAKHIL MADRASHA,Dakhil,01721961377,fahim@unique24.net,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100528,ZIRAIL AZIZIA FAZIL MADRASHA,Fazil, 01718778380,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Mathbaria,102813,NEZAMIA GHOPKHALI ENSANIA DAKHIL MADRASHA,Dakhil,01712958913,shahidbd582@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Bhandaria,102650,ZAMEA-E-UMMUL QURAN EIDGAH DAKHIL MADRASAH,Dakhil,01748016084,jameaeummelquranmad@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101404,AMINABAD ISLAMIA DAKHIL MADRASHA,Dakhil,01733532938,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Betagi,100285,DAKHIN BARA MOKAMIA TAHEERIA GIRLS DAKHIL MADRASAH,Dakhil,01724149545,,PRIVATE,YES,GIRLS
Barishal,Bhola,Char Fasson,101407,ALIGAO AHAMADIA ISLAMIA ALIM MADRASHA,Alim,01716899034,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102091,KESHABPUR FOZLUL HAQUE ALIM MADRASHA,Fazil,01720116913,kishabpurfhm@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Mehendiganj,138278,UTTAR ANDERMANIK DARUSSUNNAH ISLAMIA DAKHIL MADRASAH,Dakhil,01737199705,nasiruddin1617@gmail.com,PRIVATE,NO,CO-EDUCATION JOINT
Barishal,Pirojpur,Pirojpur Sadar,102950,SIKDER MALLIK DAKHIL MADRASAH,Dakhil,01718610044,sdm102950@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101412,KARIMJAN MOHILA KAMIL MADRASHA,Kamil,01712060443,kmkmadrasa@yahoo.com,PRIVATE,YES,GIRLS
Barishal,Barguna,Barguna Sadar,100218,UTTAR KHAJURA ASAHAKIA SENIOOR MADRASHA,Alim,01719565323,m100218khajura@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barguna,Taltali,100087,PANCHAKORALIA BAZAR BABU ALI DAKHIL MADRASHA,Dakhil,01706104463,meiin100087@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Mirzaganj Upazila,102464,MOIDA SALEHIA  DAKHIL MADRASAH,Dakhil,01716238938,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Mathbaria,102778,BHANDAB PARA SALEHEA SINOR ALIM MADRASHA,Alim,01710181246,bandhopparamadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Rajapur,101944,GALUA ISLAMIA DAKHIL MADRASHA,Dakhil,01712776368,m101944@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Indurkani,102975,BALIPARA UNION ALIM MADRASHA,Alim,01716096172,madrasah102975@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Barisal Sadar (Kotwali),100829,DURGAPUR HAZIMOBAROK ALI DAKHIL MADRASA,Dakhil,01733255438,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Pirojpur Sadar,102932,KHANAKUNIARY P. E. R.  FAZIL MADRASAH,Fazil,01748932757,mad102932@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Patuakhali Sadar,102585,KESABPR ALAMIN DAKHIL MADRASHA,Dakhil,01718121482,younusuper@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101167,WEST DHANIA ALIM MADRASAH,Alim,01927859621,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Bhola Sadar,101186,ILISHA  BAGAR  HAOLA  NASARIA  DAKHIL  MADRASHA,Dakhil,01717686058,ebndm1994@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Lalmohan,101549,KUNDER HAWLA RASHIDIA DAKHIL MADRASHA,Dakhil,01736545690,m101549@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Dashmina,102151,MADHYA BETAGI SHARIATIA DAKHIL MADRASHA,Dakhil,01745109596,madrasah102151@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Bauphal,102090,K.S.B RABEA BASRI DAKHIL MADRASHA,Dakhil,01731215125,ksbrbdm2012@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Mehendiganj,100934,ULANIA AHMADIA  GIRLS DAKHIL MADRASA,Dakhil,01710192320,,PRIVATE,YES,GIRLS
Barishal,Pirojpur,Mathbaria,102800,DAKKHIN AMRAGACHIA NEHAL UDDIN DAKHIL MADRASAH,Dakhil,01715212657,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Nazirpur Upazila,102880,DUMARIA NESARIA SENIOR (ALIM) MADRASAH,Alim,01735343214,m102880@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Pirojpur,Pirojpur Sadar,102952,NAMAJPUR SAKINA HAMID GIRLS DAKHIL MADRASAH,Dakhil,01733833380,,PRIVATE,YES,GIRLS
Barishal,Barisal,Bakerganj,100535,CHARADI NESARIA (CN) SENIOR MADRASAH,Alim,01715309868,charadim2016@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Banari Para,100644,UTTAR MARICHBUNIA BISARKANDI NA. DAKHIL MADRASHA,Dakhil,01721367884,azizul20291@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Patuakhali Sadar,102586,NAZIRPUR AL AMIN DAKHIL MADRASHA,Dakhil,01734803867,nazirpuralamindakhilmadrasah@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101390,ASLAMPUR MOHAMMADIA DAKHIL MADRASHA,Dakhil,01719962522,aslampurmm101390@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Patuakhali Sadar,134194,PAR HOKTULLAH GIRLS DAKHIL MADRASAH,Dakhil,01736743089,,PRIVATE,NO,GIRLS
Barishal,Pirojpur,Mathbaria,102771,JAREPERCHAR ALHAJ A. GANI DAKHIL MADRASAH,Dakhil,01718555840,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Nalchity,101848,SARMAHAL HASEMIA MOZAHEDIA DAKHIL MADRASA,Dakhil,01712556054,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Jhalokati,Nalchity,101838,HADUA BAISHAKHIA FAZIL MADRASAH,Fazil,01711211975,sayamhadua@gmail.com,PRIVATE,YES,CO-EDUCATION SEPERATE
Barishal,Jhalokati,Kanthalia,101779,MAHISKANDI BHAYLA BUNIA H.DAKHIL MADRASAH,Dakhil,01719659458,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Dashmina,102153,SOUTH AROJBEGI DAKAHIL MADRASAH,Dakhil,01745676106,madrasah102153@gmail.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Burhanuddin,101264,SAGLA HASNAIN ISLAMIA DAKHIL MADRASAH,Dakhil,01718992877,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Bhola,Char Fasson,101389,SOUTH SHIVA JAMILA ISLAMIA DAKHIL MAD.,Dakhil,01728221970,,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Barisal,Bakerganj,100550,SHIAL GHUNI DAKHIL MADRASHA,Dakhil,01725254040,shialghuni100550@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
Barishal,Patuakhali,Galachipa,102281,ESADI NESARIA DAKHIL MADRASHA,Dakhil,01714523117,mad102281@gmail.com,PRIVATE,YES,BOYS
Barishal,Jhalokati,Nalchity,101857,ANURAG GOWRIPASHA AL-HASAN DAKHIL MADRASAH,Dakhil,01716133473,m_101857@yahoo.com,PRIVATE,YES,CO-EDUCATION JOINT
